Date/Time;Open;High;Low;Close;Range (high - low)
04/02/2003;860.32;860.32;840.19;848.18;20.13
05/02/2003;848.2;861.63;842.11;843.59;19.52
06/02/2003;843.59;844.23;833.25;838.15;10.98
07/02/2003;838.15;845.73;826.7;829.69;19.03
10/02/2003;829.69;837.16;823.53;835.88;13.63
11/02/2003;835.97;843.02;825.09;829.21;17.93
12/02/2003;829.2;832.12;818.49;818.68;13.63
13/02/2003;818.68;821.25;806.29;817.37;14.96
14/02/2003;817.37;834.89;815.03;834.89;19.86
18/02/2003;834.89;852.87;834.89;851.17;17.98
19/02/2003;851.17;851.17;838.79;845.13;12.38
20/02/2003;845.13;849.37;836.56;837.1;12.81
21/02/2003;837.1;852.28;831.48;848.17;20.8
24/02/2003;848.17;848.17;832.16;832.58;16.01
25/02/2003;832.58;839.55;818.54;838.57;21.01
26/02/2003;838.57;840.1;826.68;827.55;13.42
27/02/2003;827.55;842.19;827.55;837.28;14.64
28/02/2003;837.28;847;837.28;841.15;9.72
03/03/2003;841.15;852.34;832.74;834.81;19.6
04/03/2003;834.81;835.43;821.96;821.99;13.47
05/03/2003;821.99;829.87;819;829.85;10.87
06/03/2003;829.85;829.85;819.85;822.1;10
07/03/2003;822.1;829.55;811.23;828.89;18.32
10/03/2003;828.89;828.89;806.57;807.48;22.32
11/03/2003;807.48;814.25;800.3;800.73;13.95
12/03/2003;800.73;804.19;788.9;804.19;15.29
13/03/2003;804.19;832.02;804.19;831.9;27.83
14/03/2003;831.89;841.39;828.26;833.27;13.13
17/03/2003;833.27;862.79;827.17;862.79;35.62
18/03/2003;862.79;866.94;857.36;866.45;9.58
19/03/2003;866.45;874.99;861.21;874.02;13.78
20/03/2003;874.02;879.6;859.01;875.67;20.59
21/03/2003;875.84;895.9;875.84;895.79;20.06
24/03/2003;895.79;895.79;862.02;864.23;33.77
25/03/2003;864.23;879.87;862.59;874.74;17.28
26/03/2003;874.74;875.8;866.47;869.95;9.33
27/03/2003;869.95;874.15;858.09;868.52;16.06
28/03/2003;868.52;869.88;860.83;863.5;9.05
31/03/2003;863.5;863.5;843.68;848.18;19.82
01/04/2003;848.18;861.28;847.85;858.48;13.43
02/04/2003;858.48;884.57;858.48;880.9;26.09
03/04/2003;880.9;885.89;876.12;876.45;9.77
04/04/2003;876.45;882.73;874.23;878.85;8.5
07/04/2003;878.85;904.89;878.85;879.93;26.04
08/04/2003;879.93;883.11;874.68;878.29;8.43
09/04/2003;878.29;887.35;865.72;865.99;21.63
10/04/2003;865.99;871.78;862.76;871.58;9.02
11/04/2003;871.58;883.34;865.92;868.3;17.42
14/04/2003;868.3;885.26;868.3;885.23;16.96
15/04/2003;885.23;891.27;881.85;890.81;9.42
16/04/2003;890.81;896.77;877.93;879.91;18.84
17/04/2003;879.91;893.83;879.2;893.58;14.63
21/04/2003;893.58;898.01;888.17;892.01;9.84
22/04/2003;892.01;911.74;886.7;911.37;25.04
23/04/2003;911.37;919.74;909.89;919.02;9.85
24/04/2003;919.02;919.02;906.69;911.43;12.33
25/04/2003;911.43;911.43;897.52;898.81;13.91
28/04/2003;898.81;918.15;898.81;914.84;19.34
29/04/2003;914.84;924.24;911.1;917.84;13.14
30/04/2003;917.84;922.01;911.7;916.92;10.31
01/05/2003;916.92;919.68;902.83;916.3;16.85
02/05/2003;916.3;930.56;912.35;930.08;18.21
05/05/2003;930.08;933.88;924.55;926.55;9.33
06/05/2003;926.55;939.61;926.38;934.39;13.23
07/05/2003;934.39;937.22;926.41;929.62;10.81
08/05/2003;929.62;929.62;919.72;920.27;9.9
09/05/2003;920.27;933.77;920.27;933.41;13.5
12/05/2003;933.41;946.84;929.3;945.11;17.54
13/05/2003;945.11;947.51;938.91;942.3;8.6
14/05/2003;942.3;947.29;935.24;939.28;12.05
15/05/2003;939.28;948.23;938.79;946.67;9.44
16/05/2003;946.67;948.65;938.6;944.3;10.05
19/05/2003;944.3;944.3;920.23;920.77;24.07
20/05/2003;920.77;925.34;912.05;919.73;13.29
21/05/2003;919.73;923.85;914.91;923.42;8.94
22/05/2003;923.42;935.3;922.54;931.87;12.76
23/05/2003;931.87;935.2;927.42;933.22;7.78
27/05/2003;933.22;952.76;927.33;951.48;25.43
28/05/2003;951.48;959.39;950.12;953.22;9.27
29/05/2003;953.22;962.08;946.23;949.64;15.85
30/05/2003;949.64;965.38;949.64;963.59;15.74
02/06/2003;963.59;979.11;963.59;967;15.52
03/06/2003;967;973.02;964.47;971.56;8.55
04/06/2003;971.56;987.85;970.72;986.24;17.13
05/06/2003;986.24;990.14;978.13;990.14;12.01
06/06/2003;990.14;1007.69;986.01;987.76;21.68
09/06/2003;987.76;987.76;972.59;975.93;15.17
10/06/2003;975.93;984.84;975.93;984.84;8.91
11/06/2003;984.84;997.48;981.61;997.48;15.87
12/06/2003;997.48;1002.74;991.27;998.51;11.47
13/06/2003;998.51;1000.92;984.27;988.61;16.65
16/06/2003;988.61;1010.86;988.61;1010.74;22.25
17/06/2003;1010.74;1015.33;1007.04;1011.66;8.29
18/06/2003;1011.66;1015.12;1004.61;1010.09;10.51
19/06/2003;1010.09;1011.22;993.08;994.7;18.14
20/06/2003;994.7;1002.09;993.36;995.69;8.73
23/06/2003;995.69;995.69;977.4;981.64;18.29
24/06/2003;981.64;987.84;979.08;983.45;8.76
25/06/2003;983.45;991.64;974.86;975.32;16.78
26/06/2003;975.32;986.53;973.8;985.82;12.73
27/06/2003;985.82;988.88;974.29;976.22;14.59
30/06/2003;976.22;983.61;973.6;974.5;10.01
01/07/2003;974.5;983.26;962.1;982.32;21.16
02/07/2003;982.32;993.78;982.32;993.75;11.46
03/07/2003;993.75;995;983.34;985.7;11.66
07/07/2003;985.7;1005.56;985.7;1004.42;19.86
08/07/2003;1004.42;1008.92;998.73;1007.84;10.19
09/07/2003;1007.84;1010.43;998.17;1002.21;12.26
10/07/2003;1002.21;1002.21;983.63;988.7;18.58
11/07/2003;988.7;1000.86;988.7;998.14;12.16
14/07/2003;998.14;1015.41;998.14;1003.86;17.27
15/07/2003;1003.86;1009.61;996.67;1000.42;12.94
16/07/2003;1000.42;1003.47;989.3;994.09;14.17
17/07/2003;994;994;978.6;981.73;15.4
18/07/2003;981.73;994.25;981.71;993.32;12.54
21/07/2003;993.32;993.32;975.63;978.8;17.69
22/07/2003;978.8;990.29;976.08;988.11;14.21
23/07/2003;988.11;989.86;979.79;988.61;10.07
24/07/2003;988.61;998.89;981.07;981.6;17.82
25/07/2003;981.6;998.71;977.49;998.68;21.22
28/07/2003;998.68;1000.68;993.59;996.52;7.09
29/07/2003;996.52;998.64;984.15;989.28;14.49
30/07/2003;989.28;992.62;985.96;987.49;6.66
31/07/2003;987.49;1004.59;987.49;990.31;17.1
01/08/2003;990.31;990.31;978.86;980.15;11.45
04/08/2003;980.15;985.75;966.79;982.82;18.96
05/08/2003;982.82;982.82;964.97;965.46;17.85
06/08/2003;965.46;975.74;960.84;967.08;14.9
07/08/2003;967.08;974.89;963.82;974.12;11.07
08/08/2003;974.12;980.57;973.83;977.59;6.74
11/08/2003;977.59;985.46;974.21;980.59;11.25
12/08/2003;980.59;990.41;979.9;990.35;10.51
13/08/2003;990.35;992.5;980.85;984.03;11.65
14/08/2003;984.03;991.91;980.36;990.51;11.55
15/08/2003;990.51;992.39;987.1;990.67;5.29
18/08/2003;990.67;1000.35;990.67;999.74;9.68
19/08/2003;999.74;1003.30;995.3;1002.35;8.00
20/08/2003;1002.35;1003.54;996.62;1000.30;6.92
21/08/2003;1000.30;1009.53;999.33;1003.27;10.20
22/08/2003;1003.27;1011.01;992.62;993.06;18.39
25/08/2003;993.06;993.71;987.91;993.71;5.8
